"UID","PID","LEGTYPE","CHAMBER","CHAMBERANK","STATECODE","STATE","DISTRICT","DISTRAIL","DISTYPE","PARTYRANK","PERCENTVOT","ELECTDATE","REELECTYR","ELECTCODE","FECLINK","PYRACUSC","CYRACUSC","PYRADASC","CYRADASC","PYRAFLSC","CYRAFLSC","PYRUSCOSC","CYRUSCOSC","SEATSTCODE","SEATSTAT","DISTRICTID","SEATID","PARTYCODE","FIRSTNAME","LASTNAME","MIDNAME","NICKNAME","PREFIX","GENSUFFIX","TITLE","PROFSUFFIX","GENDER","LEGALNAME","PRONUNCTON","BIRTHPLACE","BIRTHYEAR","BIRTHMONTH","BIRTHDATE","MARITAL","SPOUSE","RESIDENCE","FAMILY","RELIGCODE","RELIGION","ETHCODE","ETHNICS","REOFC1","REOFC1DATE","REOFC2","REOFC2DATE","RECOCCODE1","RECENTOCC1","RECOCCODE2","RECENTOCC2","SCHOOL1","DEGREE1","EDUDATE1","SCHOOL2","DEGREE2","EDUDATE2","SCHOOL3","DEGREE3","EDUDATE3","MILBRANCH1","MILRANK1","MILDATES1","MILBRANCH2","MILRANK2","MILDATES2","MAILNAME","MAILTITLE","MAILADDR1","MAILADDR2","MAILADDR3","MAILADDR4","MAILADDR5","EMAIL","WEBFORM","WEBSITE","WEBLOG","FACEBOOK","TWITTER","YOUTUBE","PHOTOPATH","PHOTOFILE"
21749,158699,"FL","H",5,"AK","Alaska","01","","",1,64.5,"1973","2014","G","H6AK00045",0,0,30,0,64,0,88,0,"AOK","Normal",148,152,"R","Don","Young","","Don","Rep.","","US Representative","","M","Donald Edwin Young","YUNG","Meridian, CA","1933","06","09","Widower","","Fort Yukon, AK","2 children","EPI","Episcopalian",5,"White/Caucasian","Chairman, U.S. House Subcommittee on Indian and Alaska Native Affairs","2013","Candidate, U.S. House of Representatives","1972","BUS","Licensed Riverboat Captain","EDU","Elementary School Teacher","California State University - Chico","B.A.","1958","Yuba Junior College (CA)","A.A.","1952","Sutter High School (CA)","","1952","U.S. Army","","1955-1957","","","","Rep. Don Young","US Representative","Room 2314","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-0201","","http://donyoung.house.gov/Contact/","http://donyoung.house.gov","","http://www.facebook.com/RepDonYoung","http://twitter.com/repdonyoung","http://www.youtube.com/user/RepDonYoung","Images\Photos\FL\H","Young_Don_158699.jpg"
21783,193005,"FL","H",181,"CA","California","16","","",20,57.399999999999999,"2004","2014","G","H4CA20082",0,0,95,0,96,0,55,0,"AOK","Normal",431,865,"D","Jim","Costa","","Jim","Rep.","","US Representative","","M","James Manuel Costa","KAHS-tuh","Fresno, CA","1952","04","13","Single","","Fresno, CA","","ROC","Roman Catholic",5,"White/Caucasian","Ranking Minority Member, U.S. House Subcommittee on Rural Development, Research, Biotechnology, and Foreign Agriculture","2013","Member (CA20 D), U.S. House of Representatives","2004-2013","EDU","Professor","BUS","Chief Executive Officer","California State University - Fresno","B.S.","1974","San Joaquin Memorial High School (CA)","","1974","","","","","","","","","","Rep. Jim Costa","US Representative","Room 1314","LHOB- Longworth House Office Building","Independence and New Jersey Avenues, SE","","Washington, DC 20515-0516","congressmanjimcosta@mail.house.gov","http://www.house.gov/formcosta/issue.htm","http://www.costa.house.gov","","","http://twitter.com/#/RepJimCosta","http://www.youtube.com/RepJimCostaCA20","Images\Photos\FL\H","Costa_Jim_193005.jpg"
21817,143356,"FL","H",376,"CA","California","51","","",38,71.5,"2012","2014","G","H2CA50026",0,0,0,0,0,0,0,0,"AOK","Normal",466,900,"D","Juan","Vargas","","Juan","Rep.","","US Representative","","M","Juan C. Vargas","","National City, CA","1961","03","07","Married","Adrienne D'Ascoli","San Diego, CA","2 children","ROC","Roman Catholic",2,"Hispanic/Latino","Member (CA040 D), CA State Senate","2010-2013","Member, CA State Senate","2010-2012","BUS","Vice President, Corporate Legal","BUS","Vice President, External Affairs","Harvard University Law School (MA)","J.D.","1991","Fordham University (NY)","M.A.","1987","University of San Diego (CA)","B.A.","1983","","","","","","","Rep. Juan Vargas","US Representative","Room 1605","LHOB- Longworth House Office Building","Independence and New Jersey Avenues, SE","","Washington, DC 20515-0551","","https://vargas.house.gov/contact/email-me","http://vargas.house.gov/","","http://www.facebook.com/VargasforCongress","http://twitter.com/Vargas4Congress","","Images\Photos\FL\H","Vargas_Juan_143356.jpg"
21857,158807,"FL","H",62,"GA","Georgia","01","","",1,63,"1992","2014","G","H2GA01157",0,0,10,0,8,0,65,0,"AOK","Normal",1153,1597,"R","Jack","Kingston","","Jack","Rep.","","US Representative","","M","John Heddens Kingston","KING-stuhn","Bryan, TX","1955","04","24","Married","Elizabeth Morris","Savannah, GA","4 children","EPI","Episcopalian",5,"White/Caucasian","Chairman, U.S. House Subcommittee on Agriculture, Rural Development, FDA and Related Agencies","2013","Member, GA State House","1984-1993","BUS","Insurance Agent","","","University of Georgia","B.A.","1977","Michigan State University","","1974","","","","","","","","","","Rep. Jack Kingston","US Representative","Room 2372","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-1001","","https://kingstonforms.house.gov/ContactForm/default.aspx","http://kingston.house.gov","","http://www.facebook.com/pages/Jack-Kingston/6914617307","http://twitter.com/JackKingston","http://www.youtube.com/user/JackKingston","Images\Photos\FL\H","Kingston_Jack_158807.jpg"
21895,228382,"FL","H",259,"IL","Illinois","18","","",3,74.200000000000003,"2008","2014","G","H8IL18043",0,0,25,0,65,0,83,0,"AOK","Normal",1536,2056,"R","Aaron","Schock","","Aaron","Rep.","","US Representative","","M","Aaron Schock","shahk","Morris, MN","1981","05","28","Single","","Peoria, IL","","BAP","Baptist",5,"White/Caucasian","Chairman, U.S. House Commission on Congressional Mailing Standards","2013","Member, IL State House","2005-2008","BUS","Director of Development","REL","Real Estate Manager","Bradley University (IL)","B.S.","2002","Richwood High School (IL)","","2002","","","","","","","","","","Rep. Aaron Schock","US Representative","Room 328","CHOB- Cannon House Office Building","Independence Avenue and 1st Street, SE","","Washington, DC 20515-1318","","http://schock.house.gov/Contact/","http://www.schock.house.gov","","","http://twitter.com/repaaronschock","http://www.youtube.com/user/repaaronschock","Images\Photos\FL\H","Schock_Aaron_228382.jpg"
21930,158880,"FL","H",107,"MA","Massachusetts","06","","",4,48.299999999999997,"1996","2014","G","H4MA06033",0,0,100,0,92,0,50,0,"AOK","Normal",2806,3418,"D","John","Tierney","F.","John","Rep.","","US Representative","","M","John F. Tierney","tee-EER-nee","Salem, MA","1951","09","18","Married","Patrice","Salem, MA","3 stepchildren ","ROC","Roman Catholic",5,"White/Caucasian","Ranking Minority Member, U.S. House Subcommittee on National Security, Homeland Defense and Foreign Operations","2013","Candidate, U.S. House of Representatives","1994","LAW","Founding Partner","LAW","Attorney","Suffolk University Law School (MA)","J.D.","1976","Salem State College (MA)","B.A.","1973","Salem High School (MA)","","1973","","","","","","","Rep. John Tierney","US Representative","Room 2238","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-2106","","http://forms.house.gov/tierney/webform/issue_subscribe.htm","http://www.tierney.house.gov","","http://www.facebook.com/CongressmanJohnTierney","http://twitter.com/reptierney","http://www.youtube.com/user/CongressmanTierney","Images\Photos\FL\H","Tierney_John_158880.jpg"
21971,196108,"FL","H",247,"MO","Missouri","03","","",3,63.5,"2008","2014","G","H8MO09153",0,0,100,0,96,0,55,0,"AOK","Normal",3563,4183,"R","Blaine","Luetkemeyer","","Blaine","Rep.","","US Representative","","M","Blaine Luetkemeyer","LOOT-keh-my-ur","Jefferson City, MO","1952","05","07","Married","Jackie","St. Elizabeth, MO","3 children ;  3 grandchildren ","CAT","Catholic",5,"White/Caucasian","Member (MO09 R), U.S. House of Representatives","2008-2013","Candidate for GOP Nomination, MO State Treasurer","2004","BUS","Insurance Agent and Owner","BAN","Vice President and Loan Officer","Lincoln University (MO)","B.A.","1974","St. Elizabeth High School (MO)","","1970","","","","","","","","","","Rep. Blaine Luetkemeyer","US Representative","Room 2440","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-2503","","http://luetkemeyer.house.gov/Contact/","http://www.luetkemeyer.house.gov","","http://www.facebook.com/BlaineLuetkemeyer","","http://www.youtube.com/user/BLuetkemeyer","Images\Photos\FL\H","Luetkemeyer_Blaine_196108.jpg"
22005,158955,"FL","H",14,"NJ","New Jersey","04","","",1,63.700000000000003,"1980","2014","G","H8NJ04014",0,0,55,0,79,0,70,0,"AOK","Normal",4200,4979,"R","Chris","Smith","","Chris","Rep.","","US Representative","","M","Christopher Henry Smith","smith","Rahway, NJ","1953","03","04","Married","Marie Hahn","Robbinsville, NJ","4 children","ROC","Roman Catholic",5,"White/Caucasian","Chairman, U.S. Joint Commission on Security and Cooperation in Europe","2013","Chairman, U.S. Joint Congressional-Executive Commission on China","2013","BUS","Institutional Sales","BUS","Executive Director","Trenton State College (NJ)","B.A.","1975","Worcester College (England)","","1974","","","","","","","","","","Rep. Chris Smith","US Representative","Room 2373","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-3004","","http://chrissmith.house.gov/contact/zipauth.htm","http://chrissmith.house.gov","","","","http://www.youtube.com/user/USRepChrisSmith","Images\Photos\FL\H","Smith_Chris_158955.jpg"
22024,158975,"FL","H",108,"NY","New York","05","","",10,89.700000000000003,"1998","2014","G","H8NY06048",0,0,90,0,96,0,55,0,"AOK","Normal",4409,5232,"D","Gregory","Meeks","W.","Gregory","Rep.","","US Representative","","M","Gregory Weldon Meeks","meeks","Harlem, NY","1953","09","25","Married","Simone-Marie","St. Albans, NY","3 children ","BAP","Baptist",1,"Black/African American","Ranking Minority Member, U.S. House Subcommittee on Europe and Eurasia","2013","Member (NY06 D), U.S. House of Representatives","1998-2013","LAW","Judge","LAW","Hearing Officer","Howard University Law School (DC)","J.D.","1978","Adelphi University (NY)","B.A.","1975","Julia Richman High School (NY)","","1975","","","","","","","Rep. Gregory Meeks","US Representative","Room 2234","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-3206","","https://meeks.house.gov/contact-me/email-me","http://meeks.house.gov/","","http://www.facebook.com/gregory.meeks","http://twitter.com/GregoryMeeks","http://www.youtube.com/user/gwmeeks","Images\Photos\FL\H","Meeks_Gregory_158975.jpg"
22055,209172,"FL","H",229,"OH","Ohio","05","","",6,57.299999999999997,"2006","2014","G","H8OH05036",0,0,0,0,0,0,0,0,"AOK","Normal",4928,5757,"R","Bob","Latta","","Bob","Rep.","","US Representative","","M","Robert Edward Latta","LAT-uh","Bluffton, OH","1956","04","18","Married","Marcia Sloan","Bowling Green, OH","2 children","CAT","Catholic",5,"White/Caucasian","Member, OH State House","2001-2007","Member, OH State Senate","1997-2000","EDU","Certified Hunter Education Instructor","LAW","Associate Counsel","University of Toledo College of Law (OH)","J.D.","1981","Bowling Green State University (OH)","B.A.","1978","Ohio Northern University","Att.","1975","","","","","","","Rep. Bob Latta","US Representative","Room 2448","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-3505","","http://latta.house.gov/Contact/","http://latta.house.gov","","http://www.facebook.com/boblatta","http://twitter.com/boblatta","http://www.youtube.com/CongressmanBobLatta","Images\Photos\FL\H","Latta_Bob_209172.jpg"
