"UID","PID","LEGTYPE","CHAMBER","CHAMBERANK","STATECODE","STATE","DISTRICT","DISTRAIL","DISTYPE","PARTYRANK","PERCENTVOT","ELECTDATE","REELECTYR","ELECTCODE","FECLINK","PYRACUSC","CYRACUSC","PYRADASC","CYRADASC","PYRAFLSC","CYRAFLSC","PYRUSCOSC","CYRUSCOSC","SEATSTCODE","SEATSTAT","DISTRICTID","SEATID","PARTYCODE","FIRSTNAME","LASTNAME","MIDNAME","NICKNAME","PREFIX","GENSUFFIX","TITLE","PROFSUFFIX","GENDER","LEGALNAME","PRONUNCTON","BIRTHPLACE","BIRTHYEAR","BIRTHMONTH","BIRTHDATE","MARITAL","SPOUSE","RESIDENCE","FAMILY","RELIGCODE","RELIGION","ETHCODE","ETHNICS","REOFC1","REOFC1DATE","REOFC2","REOFC2DATE","RECOCCODE1","RECENTOCC1","RECOCCODE2","RECENTOCC2","SCHOOL1","DEGREE1","EDUDATE1","SCHOOL2","DEGREE2","EDUDATE2","SCHOOL3","DEGREE3","EDUDATE3","MILBRANCH1","MILRANK1","MILDATES1","MILBRANCH2","MILRANK2","MILDATES2","MAILNAME","MAILTITLE","MAILADDR1","MAILADDR2","MAILADDR3","MAILADDR4","MAILADDR5","EMAIL","WEBFORM","WEBSITE","WEBLOG","FACEBOOK","TWITTER","YOUTUBE","PHOTOPATH","PHOTOFILE"
22371,200149,"SL","S",2,"WY","Wyoming","018","","",2,71.299999999999997,"1988","2016","G","",0,0,0,0,0,0,0,0,"AOK","Normal",7093,824,"R","Henry","Coe","","Hank","Sen.","","Wyoming Senator","","M","Henry H.R. Coe","","Cody, WY","1946","04","29","Single","Marty","Cody, WY","3 children; 6 grandchildren","EPI","Episcopalian",5,"White/Caucasian","Chairman, WY State Joint Select Committee on Statewide Education Accountability","2013","Chairman, WY State Joint Liaison Committee on Air Transportation","2013","BUS","President","BUS","Investment Executive","University of Wyoming","","2013","","","","","","","","","","","","","Sen. Henry Coe","Wyoming Senator","","State Capitol","200 West 24th Street","","Cheyenne, WY 82002","Hank.Coe@wyoleg.gov","","http://legisweb.state.wy.us/LegislatorSummary/LegDetail.aspx?LegID=967","","","","","Images\Photos\SL\WY\S","Coe_Henry_200149.jpg"
22561,248676,"SL","H",38,"WA","Washington","024","A","",25,64.200000000000003,"2006","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6723,7693,"D","Kevin","Van De Wege","","Kevin","Rep.","","Washington Representative","","M","Kevin Van De Wege","","Washington","1974","10","02","Married","Jennifer","Sequim, WA","2 children","","",5,"White/Caucasian","Majority Deputy Whip, WA State House of Representatives","2009-2010","Candidate, WA State House of Representatives","2004","PUB","Firefighter, Lieutenant","","","Washington State University","B.A.","2002","Northwest Medical Center (WA)","","2002","Edmonds Community College (WA)","A.A.","2002","","","","","","","Rep. Kevin Van De Wege","Washington Representative","","Legislative Building","PO Box 40600","","Olympia, WA 98504-0600","kevin.vandewege@leg.wa.gov","https://dlr.leg.wa.gov/memberemail/mailform.aspx?chamber=h&district=24&position=1","http://www.leg.wa.gov/house/representatives/Pages/vandewege.aspx","","http://www.facebook.com/kevinvandewege","http://twitter.com/kevincparker","","Images\Photos\SL\WA\H","VanDeWege_Kevin_248676.jpg"
22668,199920,"SL","H",9,"WI","Wisconsin","020","","",5,57.5,"1998","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6902,631,"D","Christine","Sinicki","M.","Christine","Rep.","","Wisconsin Representative","","F","Christine M. Sinicki","","Milwaukee, WI","1960","03","28","Married","Michael Sinicki","Milwaukee, WI","2 children","","",4,"Asian/Pacific American","Former Member, Milwaukee Commission on Domestic Violence and Sexual Assault","1994","Minority Caucus Chair, WI State Assembly","2001","EDU","Founder","BUS","Small Business Manager (Retired)","Bowhay Institute","","2001","University of Wisconsin, Madison","","2001","Flemming Institute Center for Policy Alternatives","","2001","WI Civil Air Patrol","Major","2001","","","","Rep. Christine Sinicki","Wisconsin Representative","","State Capitol","PO Box 8953","","Madison, WI 53708-8953","Rep.Sinicki@legis.wisconsin.gov","","http://legis.wisconsin.gov/Pages/leg-info.aspx?d=20&h=A","","http://www.facebook.com/profile.php?id=1476511597","","","Images\Photos\SL\WI\H","Sinicki_Christine_199920.jpg"
22759,377088,"SL","S",26,"WV","West Virginia","007","B","",21,100,"2011","2016","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6865,8150,"D","Arthur","Kirkendoll","E.","Art","Sen.","","West Virginia Senator","","M","Arthur E. Kirkendoll","","","","","","Married","Barbara","Chapmanville, WV","2 children; 5 grandchildren","","",5,"White/Caucasian","Vice Chair, WV State Senate Committee on Energy, Industry and Mining","2013","Chairman, WV State Subcommittee B","2013","","","","","","","","","","","","","","","","","","","","Sen. Arthur Kirkendoll","West Virginia Senator","Room 218-W","State Capitol - Building 1","1900 Kanawha Boulevard West","","Charleston, WV 25305","art.kirkendoll@wvsenate.gov","","http://www.legis.state.wv.us/Senate1/members/senmemview.cfm?input=Senator%20Kirkendoll","","","","","Images\Photos\SL\WV\S","Kirkendoll_Arthur_377088.jpg"
22878,252461,"SL","S",1,"VI","Virgin Islands","001","D","",1,6.5,"2006","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",7841,7910,"ICM","Terrence","Nelson","","Positive","Sen.","","Virgin Islands Senator","","M","Terrence Nelson","","St. Kitts, VI","1967","09","27","Married","Kimberly Roper Nelson","","4 children","","",,"","","","","","VOL","Founder","LAB","Founder","Saint Augustine's College (NC)","B.S.","1989","St. Croix Central High School","","1985","","","","","","","","","","Sen. Terrence Nelson","Virgin Islands Senator","","Capitol Building","PO Box 1690","","St. Thomas, VI 00804","tnelson@legVI.org","","http://www.legvi.org/index.php?option=com_content&view=article&id=194&Itemid=47","","","","","Images\Photos\SL\VI\S","Nelson_Terrence_252461.jpg"
22967,199458,"SL","H",2,"VA","Virginia","036","","",1,64.099999999999994,"1981","2013","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6586,7531,"D","Kenneth","Plum","R.","Ken","Del.","","Virginia Delegate","","M","Kenneth Ray Plum","","Shenandoah, VA","1941","11","03","Married","Jane Meacham","Reston, VA","4 children","CHC","Christian Church",5,"White/Caucasian","Member, VA State House of Delegates","1978-1980","Minority Caucus Chair, VA State House of Delegates","1978-1980","EDU","Retired Educator","PUB","Director","University of Virginia","M.Ed.","1978-1980","Old Dominion University (VA)","B.A.","1978-1980","","","","","","","","","","Del. Kenneth Plum","Virginia Representative","","General Assembly Building","PO Box 406","","Richmond, VA 23218","DelKPlum@house.virginia.gov","","http://dela.house.virginia.gov/dela/MemBios.nsf/b5c940b865f629aa85256c0d0051edc7/010d7ad96b451e5585257535005773d8?OpenDocument","","http://www.facebook.com/people/Kenneth-R-Plum/1234052840","","","Images\Photos\SL\VA\H","Plum_Kenneth_199458.jpg"
23084,272030,"SL","H",79,"VT","Vermont","003","A","",49,42,"2008","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6421,8159,"D","Diane","Lanpher","","Diane","Rep.","","Vermont Representative","","F","Diane Lanpher","","Buffalo, NY","1955","11","26","Married","Jim Lanpher","Jergennes, NY","3 children ; 2 grandchildren","","",5,"White/Caucasian","Member, Economic Crisis Community Response Team","1974","Member, Addison County Transit Resources","1974","VOL","Employee","BUS","Employee","","","","","","","","","","","","","","","","Rep. Diane Lanpher","Vermont Representative","","State House","115 State Street","","Montpelier, VT 05633-5501","dlanpher@leg.state.vt.us","","http://www.leg.state.vt.us/legdir/alpha.cfm?Body=H&Session=2014#L","","http://www.facebook.com/diane.lanpher","","","Images\Photos\SL\VT\H","Lanpher_Diane_272030.jpg"
23232,227014,"SL","S",13,"TN","Tennessee","011","","",9,100,"2006","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6075,6953,"R","Bo","Watson","","Bo","Sen.","","Tennessee Senator","","M","Bo Watson","","","1960","10","21","Married","","Hixson, TN","1 child","MET","Methodist",5,"White/Caucasian","Speaker Pro Tempore of the Senate, TN State Senate","2011","Member, TN State House of Representatives","2004-2006","MED","Physical Therapist","","","University of Tennessee Center for Health Sciences, Memphis","","2004-2006","University of Tennessee, Chattanooga","B.A.","2004-2006","","","","","","","","","","Sen. Bo Watson","Tennessee Senator","Room 13","Legislative Plaza","301 Sixth Avenue North","","Nashville, TN 37243","sen.bo.watson@capitol.tn.gov","","http://www.capitol.tn.gov/senate/members/s11.html","","http://www.facebook.com/people/Bo-Watson/1677369708","","","Images\Photos\SL\TN\S","Watson_Bo_227014.jpg"
23330,292843,"SL","H",64,"TN","Tennessee","076","","",41,54.299999999999997,"2010","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6041,6919,"R","Andrew","Holt","H.","Andy","Rep.","","Tennessee Representative","","M","Andrew H. Holt","","","1981","12","22","Married","Ellie Anderson","Dresden, TN","2 children ","BAP","Baptist",5,"White/Caucasian","Member, Carroll & Weakley County Republican Party","1966","Member, Weakley County Board of Commissioners","1966","BUS","Businessman","AGR","Farmer","University of Tennessee, Martin","M.B.A.","2007","University of Tennessee, Knoxville","B.S.","2004","South Doyle High School, Knoxville","","2004","","","","","","","Rep. Andrew Holt","Tennessee Representative","Room 205","War Memorial Building","301 Sixth Avenue North","","Nashville, TN 37243","rep.andy.holt@capitol.tn.gov","","http://www.capitol.tn.gov/house/members/h76.html","","http://www.facebook.com/HoltforStateRep76","","","Images\Photos\SL\TN\H","Holt_Andrew_292843.jpg"
23428,290569,"SL","H",113,"TX","Texas","098","","",70,85.599999999999994,"2012","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6227,7107,"R","Giovanni","Capriglione","","Giovanni","Rep.","","Texas Representative","","M","Giovanni Capriglione","","","","","","Married","Elisa","Southlake, TX","3 children ","","",5,"White/Caucasian","Candidate, Texas House District 098 (TX098)","2010-2010","Vice President, Tarrant Republican Club","2010-2010","BUS","President, Owner","BUS","Senior Vice President","Santa Clara University (CA)","M.B.A.","2010-2010","Santa Clara University (CA)","B.S.","2010-2010","","","","","","","","","","Rep. Giovanni Capriglione","Texas Representative","","Capitol Extension","PO Box 2910","","Austin, TX 78768-2910","giovanni.capriglione@house.state.tx.us","http://www.house.state.tx.us/members/member-page/email/?district=98&session=83","http://www.house.state.tx.us/members/member-page/?district=98","","http://www.facebook.com/VoteGiovanni","http://twitter.com/giovanni2010","","Images\Photos\SL\TX\H","Capriglione_Giovanni_290569.jpg"
